City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
"kiunga,pg",-6.1219,141.2906,80.78,81,98,1.12,PG,1626923692
"porto novo,cv",17.0197,-25.0647,75.18,87,50,5.79,CV,1626923693
"havre-saint-pierre,ca",50.2334,-63.5986,59.36,82,90,5.75,CA,1626923693
"great bend,us",38.3645,-98.7648,73.98,68,1,6.91,US,1626923693
"kuusamo,fi",65.9667,29.1833,48.24,87,40,5.75,FI,1626923694
"kahului,us",20.8947,-156.47,82.42,68,20,23.02,US,1626923694
"ulaanbaatar,mn",47.9077,106.8832,66.33,63,40,8.95,MN,1626923406
"alugan,ph",12.2188,125.4808,88.43,59,100,14.92,PH,1626923695
"bluff,nz",-46.6,168.3333,49.8,58,38,8.84,NZ,1626923695
"san vicente,ph",15.2955,120.6465,79.95,87,98,7.99,PH,1626923695
"monrovia,lr",6.3005,-10.7969,76.77,81,99,5.91,LR,1626923696
"komsomolskiy,ru",43.9783,46.6985,80.29,53,48,5.88,RU,1626923696
"san policarpo,ph",12.1791,125.5072,88.34,59,100,15.21,PH,1626923696
"rio gallegos,ar",-51.6226,-69.2181,37.45,75,0,2.3,AR,1626923697
"rikitea,pf",-23.1203,-134.9692,72.86,64,1,14.54,PF,1626923697
"kaitangata,nz",-46.2817,169.8464,48.15,71,75,7.25,NZ,1626923697
"kargil,in",34.5667,76.1,53.2,57,91,1.54,IN,1626923698
"zhigansk,ru",66.7697,123.3711,67.39,45,95,2.66,RU,1626923698
"cherepanovo,ru",54.2222,83.381,70.93,61,3,9.66,RU,1626923698
"yara,cu",20.2753,-76.9533,77.14,88,30,2.17,CU,1626923699
"sistranda,no",63.7256,8.834,54.9,92,100,28.9,NO,1626923699
"krasnoye,ru",52.8645,38.7935,55.92,89,2,10.56,RU,1626923699
"lufilufi,ws",-13.8745,-171.5986,87.58,77,18,19.64,WS,1626923700
"christchurch,nz",-43.5333,172.6333,48.9,90,90,8.99,NZ,1626923700
"pop,uz",40.8736,71.1089,79.29,32,0,3.6,UZ,1626923701
"adria,it",45.0564,12.0578,74.95,81,100,6.49,IT,1626923701
"rocha,uy",-34.4833,-54.3333,45.43,87,100,6.11,UY,1626923701
"vaitape,pf",-16.5167,-151.75,79.2,76,14,16.84,PF,1626923702
"bambanglipuro,id",-7.95,110.2833,82.9,67,67,9.53,ID,1626923702
"zhanakorgan,kz",43.9098,67.2495,85.19,29,0,10.11,KZ,1626923703
"cremona,it",45.2333,9.9333,75.78,90,35,6.04,IT,1626923703
"hobart,au",-42.8794,147.3294,57.25,60,75,3.0,AU,1626923623
"kirensk,ru",57.7853,108.1119,78.51,49,79,4.83,RU,1626923703
"erzin,ru",50.261,95.1623,82.72,26,69,6.42,RU,1626923704
"sitka,us",57.0531,-135.33,57.09,77,90,5.75,US,1626923603
"huarmey,pe",-10.0681,-78.1522,63.93,85,28,8.48,PE,1626923705
"ushuaia,ar",-54.8,-68.3,37.06,75,90,2.3,AR,1626923705
"haines junction,ca",60.7522,-137.5108,66.15,45,94,9.22,CA,1626923705
"bubaque,gw",11.2833,-15.8333,80.69,81,98,13.38,GW,1626923706
"rawson,ar",-43.3002,-65.1023,52.66,63,100,10.2,AR,1626923706
"robertson,za",-33.8034,19.8854,43.25,95,100,4.85,ZA,1626923706
"tefe,br",-3.3542,-64.7114,78.49,70,100,0.04,BR,1626923707
"mujiayingzi,cn",42.1167,118.7833,73.42,74,100,5.64,CN,1626923707
"zagreb,hr",45.8131,15.9775,61.9,79,0,0.0,HR,1626923707
"lompoc,us",34.6391,-120.4579,72.21,80,1,11.5,US,1626923657
"san felipe,mx",21.4833,-101.2167,61.54,83,100,6.4,MX,1626923708
"manokwari,id",-0.8667,134.0833,82.63,72,92,9.08,ID,1626923708
"deep river,ca",46.1001,-77.4995,57.94,72,51,4.65,CA,1626923708
"kargasok,ru",59.0556,80.8572,75.58,54,71,8.81,RU,1626923709
"kayerkan,ru",69.3497,87.7602,62.31,47,100,13.73,RU,1626923709
"tura,ru",64.2833,100.25,69.04,42,52,3.56,RU,1626923709
"san angelo,us",31.4638,-100.437,81.54,58,1,1.01,US,1626923505
"ashland,us",40.8167,-82.2665,61.83,90,11,5.55,US,1626923511
"busselton,au",-33.65,115.3333,56.05,66,91,4.68,AU,1626923501
"male,mv",4.1748,73.5089,83.28,73,98,15.68,MV,1626923710
"choma,zm",-16.8065,26.9531,51.91,32,0,6.29,ZM,1626923710
"igarka,ru",67.4667,86.5833,63.34,61,100,18.9,RU,1626923710
"magway,mm",20.15,94.9167,79.27,87,98,14.63,MM,1626923711
"port augusta,au",-32.5,137.7667,53.74,43,98,28.3,AU,1626923711
"seymchan,ru",62.8833,152.4333,69.98,70,100,15.41,RU,1626923711
"hermanus,za",-34.4187,19.2345,44.91,69,40,13.65,ZA,1626923712
"grootfontein,na",-19.5667,18.1167,44.53,58,0,8.34,NA,1626923712
"bambous virieux,mu",-20.3428,57.7575,67.21,94,75,6.91,MU,1626923712
"chingirlau,kz",51.095,54.0814,80.91,42,66,7.38,KZ,1626923713
"semirom,ir",31.4167,51.5667,70.21,24,6,1.48,IR,1626923713
"ylivieska,fi",64.0833,24.55,58.32,91,100,9.44,FI,1626923713
"chuy,uy",-33.6971,-53.4616,46.9,80,99,4.52,UY,1626923714
"victoria,sc",-4.6167,55.45,74.46,88,75,17.27,SC,1626923714
"along,in",28.1667,94.7667,84.49,75,80,1.36,IN,1626923715
"khatanga,ru",71.9667,102.5,53.19,90,100,3.87,RU,1626923637
"soyo,ao",-6.1349,12.3689,69.51,89,11,4.99,AO,1626923659
"bathsheba,bb",13.2167,-59.5167,81.21,83,20,18.41,BB,1626923715
"chokurdakh,ru",70.6333,147.9167,52.74,61,99,7.45,RU,1626923653
"poum,nc",-20.2333,164.0167,72.46,62,2,9.35,NC,1626923715
"norman wells,ca",65.282,-126.8329,79.56,39,42,4.65,CA,1626923493
"amuntai,id",-2.4177,115.2494,86.18,60,96,2.1,ID,1626923716
"necochea,ar",-38.5473,-58.7368,46.69,74,100,10.54,AR,1626923716
"consett,gb",54.854,-1.8316,58.17,92,2,1.61,GB,1626923716
"elko,us",41.0002,-115.5012,86.02,21,95,3.0,US,1626923716
"touros,br",-5.1989,-35.4608,74.3,86,19,13.4,BR,1626923658
"grandview,us",38.8858,-94.533,77.59,78,1,1.01,US,1626923717
"srednekolymsk,ru",67.45,153.6833,66.51,53,100,5.19,RU,1626923717
"nikolskoye,ru",59.7035,30.7861,58.78,76,46,5.53,RU,1626923626
"san patricio,mx",19.2167,-104.7,80.58,88,100,3.78,MX,1626923717
"enumclaw,us",47.2043,-121.9915,68.45,58,35,1.01,US,1626923718
"namatanai,pg",-3.6667,152.4333,83.05,75,69,3.83,PG,1626923718
"cherskiy,ru",68.75,161.3,65.64,49,77,3.15,RU,1626923718
"launceston,au",-41.45,147.1667,53.24,79,90,3.0,AU,1626923549
"imbituba,br",-28.24,-48.6703,56.82,82,0,3.06,BR,1626923719
"arica,cl",-18.475,-70.3042,61.03,77,90,4.61,CL,1626923680
"kapit,my",2.0167,112.9333,87.62,59,100,1.1,MY,1626923719
"kyshtovka,ru",56.555,76.6271,71.55,67,71,7.92,RU,1626923719
"arraial do cabo,br",-22.9661,-42.0278,67.39,78,100,7.92,BR,1626923530
"gumdag,tm",39.2061,54.5906,90.23,18,20,15.41,TM,1626923720
"albany,au",-35.0169,117.8917,54.03,82,90,11.5,AU,1626923720
"amga,ru",60.8953,131.9608,75.94,46,58,9.22,RU,1626923720
"valdivia,cl",-39.8142,-73.2459,47.57,98,100,0.72,CL,1626923721
"jumla,np",29.2747,82.1838,68.34,83,98,1.3,NP,1626923721
"portland,au",-38.3333,141.6,51.24,64,100,14.58,AU,1626923722
"laizhou,cn",37.1717,119.9214,86.29,55,100,3.47,CN,1626923722
"qasigiannguit,gl",68.8193,-51.1922,43.05,94,89,1.1,GL,1626923722
"urucui,br",-7.2294,-44.5561,79.47,42,21,8.77,BR,1626923722
"muzhi,ru",65.3667,64.6667,57.99,62,52,13.71,RU,1626923723
"isangel,vu",-19.55,169.2667,77.29,79,59,6.22,VU,1626923723
"sao joao da barra,br",-21.6403,-41.0511,66.25,84,100,4.79,BR,1626923723
"mareeba,au",-17.0,145.4333,81.32,53,62,5.46,AU,1626923657
"kysyl-syr,ru",63.8986,122.7617,77.68,48,83,6.62,RU,1626923723
"cabedelo,br",-6.9811,-34.8339,72.27,81,38,15.21,BR,1626923724
"calama,cl",-22.4667,-68.9333,46.89,9,0,20.71,CL,1626923724
"pangnirtung,ca",66.1451,-65.7125,41.41,87,97,4.0,CA,1626923725
"atagay,ru",55.1033,99.3875,69.64,70,91,5.26,RU,1626923725
"pouebo,nc",-20.4,164.5667,76.17,51,1,9.08,NC,1626923725
"lincoln,nz",-43.65,172.4833,48.02,88,75,19.57,NZ,1626923726
"muravlenko,ru",63.7898,74.523,61.03,92,100,15.79,RU,1626923726
"chara,ru",56.9064,118.2631,73.33,53,99,0.27,RU,1626923726
"glendive,us",47.1053,-104.7125,88.48,40,1,11.5,US,1626923726
"igrim,ru",63.1906,64.4162,61.21,69,36,8.46,RU,1626923727
"anuchino,ru",43.9622,133.0544,91.35,53,90,1.34,RU,1626923727
"benjamin constant,br",-4.3831,-70.0311,73.53,77,52,1.57,BR,1626923727
"takoradi,gh",4.8845,-1.7554,74.89,84,56,8.55,GH,1626923728
"abonnema,ng",4.7084,6.7931,75.52,86,100,4.54,NG,1626923728
"cockburn town,bs",24.0333,-74.5167,81.99,77,0,13.85,BS,1626923728
"tahoua,ne",14.8888,5.2692,83.66,54,80,7.02,NE,1626923729
"hilo,us",19.7297,-155.09,78.53,79,75,6.91,US,1626923620
"aksu,cn",41.1231,80.2644,63.72,88,100,4.36,CN,1626923729
"gold coast,au",-28.0,153.4333,69.78,54,0,3.0,AU,1626923729
"punta arenas,cl",-53.15,-70.9167,33.91,93,40,4.61,CL,1626923494
"sabzevar,ir",36.2126,57.6819,72.68,33,20,0.0,IR,1626923730
"zhicheng,cn",30.2956,111.5047,87.08,73,100,5.86,CN,1626923730
"bryan,us",30.6744,-96.37,78.13,89,1,0.0,US,1626923731
"leningradskiy,ru",69.3833,178.4167,39.29,75,100,5.61,RU,1626923731
"shurugwi,zw",-19.6702,30.0059,46.42,46,0,1.3,ZW,1626923732
"pudozh,ru",61.8099,36.5345,55.44,65,92,5.26,RU,1626923732
"imeni poliny osipenko,ru",52.4201,136.4853,91.76,42,80,3.13,RU,1626923732
"luderitz,na",-26.6481,15.1594,51.96,39,4,14.38,NA,1626923733
"iranshahr,ir",27.2025,60.6848,88.14,40,20,0.0,IR,1626923733
"wattegama,lk",6.7989,81.4808,82.11,63,100,9.62,LK,1626923733
"harnosand,se",62.6323,17.9379,60.8,62,100,18.34,SE,1626923734
"aguimes,es",27.9054,-15.4461,66.83,68,20,24.16,ES,1626923734
"vichuga,ru",57.2128,41.9301,55.4,80,96,9.75,RU,1626923734
"hithadhoo,mv",-0.6,73.0833,82.26,73,100,12.66,MV,1626923735
"kribi,cm",2.95,9.9167,75.79,88,94,6.38,CM,1626923735
"lujan,ar",-34.5703,-59.105,54.99,70,99,7.76,AR,1626923735
"taoudenni,ml",22.6783,-3.9836,98.8,22,68,12.08,ML,1626923735
"yokadouma,cm",3.5167,15.05,69.55,89,100,1.88,CM,1626923736
"treinta y tres,uy",-33.2333,-54.3833,44.87,76,76,4.14,UY,1626923736
"port lincoln,au",-34.7333,135.8667,46.96,87,100,12.39,AU,1626923736
"pacific grove,us",36.6177,-121.9166,74.28,84,20,3.0,US,1626923464
"brae,gb",60.3964,-1.353,51.71,93,0,12.15,GB,1626923632
"saskylakh,ru",71.9167,114.0833,64.85,51,100,17.22,RU,1626923737
"leeton,au",-34.5667,146.4,52.9,58,99,10.96,AU,1626923737
"yulara,au",-25.2406,130.9889,75.04,29,0,20.71,AU,1626923737
"naranjal,py",-25.9667,-55.1833,55.11,54,0,2.04,PY,1626923738
"misratah,ly",32.3754,15.0925,77.68,71,0,5.7,LY,1626923688
"salinas,ec",-2.2167,-80.9667,71.56,83,40,13.8,EC,1626923738
"grindavik,is",63.8424,-22.4338,55.56,100,90,12.66,IS,1626923739
"imphal,in",24.8167,93.95,75.11,88,75,3.44,IN,1626923739
"saint-francois,gp",16.2526,-61.2741,78.76,82,52,15.82,GP,1626923739
"rancho palos verdes,us",33.7445,-118.387,89.67,86,20,1.01,US,1626923659
"diffa,ne",13.3154,12.6113,83.03,60,31,10.69,NE,1626923740
"vadso,no",70.0744,29.7487,45.48,87,75,19.57,NO,1626923740
"mahebourg,mu",-20.4081,57.7,67.24,94,75,6.91,MU,1626923740
"goure,ne",13.9835,10.2704,81.39,60,48,8.41,NE,1626923741
"mandalgovi,mn",45.7625,106.2708,68.9,51,36,12.71,MN,1626923741
"abancay,pe",-13.6339,-72.8814,52.25,92,9,2.64,PE,1626923741
"cabo san lucas,mx",22.8909,-109.9124,89.82,69,0,10.36,MX,1626923742
"acarau,br",-2.8856,-40.12,77.88,85,3,16.15,BR,1626923742
"bilma,ne",18.6853,12.9164,89.8,37,67,8.81,NE,1626923742
"dikson,ru",73.5069,80.5464,49.55,67,100,13.73,RU,1626923742
"lavrentiya,ru",65.5833,-171.0,38.64,81,100,8.9,RU,1626923743
"wroclaw,pl",51.1,17.0333,65.98,79,0,1.01,PL,1626923638
"los llanos de aridane,es",28.6585,-17.9182,65.95,82,0,16.11,ES,1626923743
"itapora,br",-22.0799,-54.7874,58.41,32,0,5.17,BR,1626923744
"kenai,us",60.5544,-151.2583,59.02,92,90,10.36,US,1626923744
"chhabra,in",24.6667,76.8333,81.72,78,100,8.39,IN,1626923744
"cordoba,es",38.0,-4.8333,73.13,40,0,2.3,ES,1626923744
"bardiyah,ly",31.7561,25.0865,76.82,82,0,15.82,LY,1626923745
"san carlos del zulia,ve",9.0,-71.9135,77.63,72,35,5.21,VE,1626923745
"aljezur,pt",37.3191,-8.8033,61.45,87,1,8.9,PT,1626923746
"ahuimanu,us",21.4447,-157.8378,82.11,68,75,14.97,US,1626923746
"newport,us",41.4901,-71.3128,73.58,72,75,8.05,US,1626923552
"quang ngai,vn",15.1167,108.8,85.05,63,100,1.72,VN,1626923579
"xai-xai,mz",-25.0519,33.6442,65.35,84,3,8.03,MZ,1626923746
"dhuburi,in",26.0333,89.9667,84.76,82,100,5.84,IN,1626923746
"deputatskiy,ru",69.3,139.9,55.35,66,100,8.19,RU,1626923747
"lagoa,pt",39.05,-27.9833,66.74,74,100,15.82,PT,1626923747
"skjervoy,no",70.0311,20.9714,47.32,80,100,21.43,NO,1626923747
"souillac,mu",-20.5167,57.5167,67.35,72,56,16.35,MU,1626923489
"roald,no",62.5833,6.1333,57.25,88,90,18.41,NO,1626923586
"luanda,ao",-8.8368,13.2343,67.68,93,8,6.49,AO,1626923489
"buluang,ph",13.3068,123.3425,82.8,86,82,18.57,PH,1626923748
"arlit,ne",18.7369,7.3853,89.85,32,53,9.22,NE,1626923748
"svobodnyy,ru",51.4,128.1333,88.66,60,98,8.28,RU,1626923748
"port hedland,au",-20.3167,118.5667,84.25,42,9,11.5,AU,1626923749
"tazovskiy,ru",67.4667,78.7,58.87,90,100,25.28,RU,1626923749
"solnechnyy,ru",50.7214,136.6319,89.56,47,64,4.45,RU,1626923749
"bar harbor,us",44.3876,-68.2039,65.01,92,90,3.0,US,1626923750
"zhangye,cn",38.9342,100.4517,86.41,31,15,5.48,CN,1626923750
"merke,kz",42.8728,73.1786,82.2,31,0,5.28,KZ,1626923750
"mouila,ga",-1.8685,11.0559,69.82,87,74,1.81,GA,1626923751
"kieta,pg",-6.2167,155.6333,83.23,77,82,7.4,PG,1626923751
"mishkino,ru",55.3389,63.9175,70.11,82,74,4.09,RU,1626923751
"srandakan,id",-7.9386,110.2506,82.96,67,69,9.64,ID,1626923700
"gasa,bt",27.9037,89.7269,65.91,75,100,6.06,BT,1626923752
"georgetown,sh",-7.9333,-14.4167,76.95,73,100,18.61,SH,1626923752
"jaciara,br",-15.9653,-54.9683,68.43,34,0,2.62,BR,1626923752
"sann,pk",26.0418,68.1378,91.87,49,0,5.93,PK,1626923753
"jalu,ly",29.0331,21.5482,78.75,56,2,10.51,LY,1626923753
"iquitos,pe",-3.7481,-73.2472,73.44,94,40,0.0,PE,1626923685
"yellowknife,ca",62.456,-114.3525,71.29,60,13,13.0,CA,1626923570
"camana,pe",-16.6228,-72.7111,61.09,85,8,6.35,PE,1626923753
"klaksvik,fo",62.2266,-6.589,52.72,93,22,12.88,FO,1626923754
"bin qirdan,tn",33.1378,11.2197,76.48,68,0,3.44,TN,1626923754
"ngerengere,tz",-6.75,38.1167,66.65,95,28,1.88,TZ,1626923754
"okhotsk,ru",59.3833,143.3,56.7,91,100,8.7,RU,1626923755
"ndago,tz",-4.6,34.35,60.55,66,5,12.44,TZ,1626923755
"punta umbria,es",37.1821,-6.9661,73.24,47,0,5.77,ES,1626923755
"jonuta,mx",18.0833,-92.1333,79.0,79,2,7.02,MX,1626923756
"saint simons,us",31.1352,-81.3901,80.65,92,1,6.91,US,1626923756
"teya,ru",60.3778,92.6267,66.76,61,0,4.0,RU,1626923756
"neuquen,ar",-38.9516,-68.0591,39.09,87,100,0.0,AR,1626923757
"tanete,id",-3.9443,119.7848,74.19,97,100,3.74,ID,1626923757
"sawtell,au",-30.3833,153.1,65.19,52,2,9.22,AU,1626923757
"ceres,za",-33.3689,19.311,39.7,90,82,2.73,ZA,1626923758
"mitchell,us",43.7094,-98.0298,78.78,64,1,11.99,US,1626923694
"naze,jp",28.3667,129.4833,81.52,90,100,28.66,JP,1626923758
"naliya,in",23.2667,68.8333,83.86,79,75,20.85,IN,1626923758
"upernavik,gl",72.7868,-56.1549,42.58,87,100,10.74,GL,1626923601
"inhambane,mz",-23.865,35.3833,66.24,72,0,10.0,MZ,1626923759
"padang,id",-0.9492,100.3543,84.27,64,84,3.62,ID,1626923759
"victor harbor,au",-35.5667,138.6167,47.71,93,100,1.01,AU,1626923759
"carnarvon,au",-24.8667,113.6333,68.22,56,3,10.92,AU,1626923467
"san pedro,bz",17.916,-87.9659,84.06,78,4,21.74,BZ,1626923476
"ambilobe,mg",-13.2,49.05,66.15,78,0,4.99,MG,1626923760
"bredasdorp,za",-34.5322,20.0403,41.29,89,66,7.99,ZA,1626923500
"mnogovershinnyy,ru",53.9353,139.9242,83.84,47,75,13.73,RU,1626923760
"shimonoseki,jp",33.95,130.95,92.28,70,75,12.66,JP,1626923761
"palu,id",-0.8917,119.8707,80.58,83,100,1.39,ID,1626923761
"ossora,ru",59.2353,163.0719,62.76,70,100,6.22,RU,1626923761
"venado tuerto,ar",-33.7456,-61.9688,49.89,55,22,9.35,AR,1626923761
"soe,id",-9.8607,124.284,81.32,33,97,7.87,ID,1626923762
"hoyanger,no",61.2204,6.0749,54.79,87,0,1.9,NO,1626923762
"severo-kurilsk,ru",50.6789,156.125,53.62,89,77,3.94,RU,1626923762
"kushiro,jp",42.975,144.3747,70.75,88,75,11.5,JP,1626923763
"qaanaaq,gl",77.484,-69.3632,38.84,97,100,11.86,GL,1626923763
"shevchenkove,ua",49.6959,37.1735,65.98,83,100,12.44,UA,1626923763
"waipawa,nz",-41.4122,175.5153,53.02,93,61,11.65,NZ,1626923764
"dzilam gonzalez,mx",21.2833,-88.9333,83.64,63,29,8.3,MX,1626923764
"fortuna,us",40.5982,-124.1573,60.91,76,2,3.0,US,1626923764
"kalmunai,lk",7.4167,81.8167,85.01,57,100,13.15,LK,1626923604
"tuktoyaktuk,ca",69.4541,-133.0374,60.8,94,75,9.22,CA,1626923493
"sfantu gheorghe,ro",45.8667,25.7833,57.92,85,97,3.56,RO,1626923765
"dvinskoy,ru",62.1535,45.1175,51.35,56,89,2.39,RU,1626923765
"dwarka,in",22.2394,68.9678,83.57,83,99,25.01,IN,1626923766
"tiarei,pf",-17.5333,-149.3333,82.42,76,21,14.18,PF,1626923766
"adzope,ci",6.1069,-3.8619,69.57,97,71,2.48,CI,1626923766
"manjacaze,mz",-24.7117,33.8828,57.79,83,0,4.52,MZ,1626923767
"buchanan,lr",5.8808,-10.0467,76.96,83,100,5.55,LR,1626923767
"ostrovskoye,ru",57.8057,42.2433,53.71,81,48,7.38,RU,1626923767
"sao mateus,br",-18.7161,-39.8589,64.67,90,8,1.43,BR,1626923768
"almeria,es",37.1667,-2.3333,74.77,38,0,2.66,ES,1626923768
"kruisfontein,za",-34.0033,24.7314,42.89,74,98,30.89,ZA,1626923768
"kavieng,pg",-2.5744,150.7967,84.06,71,95,6.22,PG,1626923769
"da nang,vn",16.0678,108.2208,94.98,46,75,8.05,VN,1626923769
"vestmannaeyjar,is",63.4427,-20.2734,53.02,94,100,4.36,IS,1626923769
"smithers,ca",54.7804,-127.1743,60.39,59,95,6.31,CA,1626923704
"alofi,nu",-19.0595,-169.9187,78.69,78,75,17.27,NU,1626923769
"kapaa,us",22.0752,-159.319,80.19,80,90,4.0,US,1626923770
"kirchzarten,de",47.9667,7.95,62.42,90,5,2.17,DE,1626923770
"bosaso,so",11.2842,49.1816,88.56,42,34,25.28,SO,1626923770
"saint george,bm",32.3817,-64.6781,80.74,85,20,16.11,BM,1626923740
"zachary,us",30.6485,-91.1565,82.27,78,40,12.66,US,1626923771
"loandjili,cg",-4.7561,11.8578,69.57,89,37,5.28,CG,1626923771
"tral,in",33.9333,75.1,68.18,75,98,2.26,IN,1626923771
"esil,kz",51.9556,66.4042,76.12,42,70,11.7,KZ,1626923772
"brynmawr,gb",51.8,-3.1833,65.28,90,2,3.4,GB,1626923772
"antri,in",26.0567,78.2144,86.43,67,77,1.28,IN,1626923772
"barcelos,br",-0.9747,-62.9242,73.09,96,28,0.92,BR,1626923772
"iqaluit,ca",63.7506,-68.5145,42.53,86,75,5.99,CA,1626923773
"sechura,pe",-5.5569,-80.8222,66.34,79,1,11.48,PE,1626923773
"kidal,ml",18.4411,1.4078,83.95,53,100,2.51,ML,1626923773
"wajima,jp",37.4,136.9,82.45,76,19,10.2,JP,1626923695
"blagoyevo,ru",63.3667,47.9167,51.15,57,79,4.14,RU,1626923774
"caravelas,br",-17.7125,-39.2481,68.58,78,0,4.32,BR,1626923774
"tottori,jp",35.5,134.2333,91.4,74,40,5.75,JP,1626923775
"bandarbeyla,so",9.4942,50.8122,80.8,66,21,20.65,SO,1626923775
"mopipi,bw",-21.1833,24.8833,46.6,21,0,8.77,BW,1626923475
"red bluff,us",40.1785,-122.2358,94.69,18,1,6.91,US,1626923775
"balabac,ph",7.9868,117.0645,85.8,72,100,16.58,PH,1626923775
"shizunai,jp",42.3339,142.3669,71.69,83,100,5.17,JP,1626923776
"mbekenyera,tz",-10.0,38.9833,64.11,96,18,2.91,TZ,1626923776
"dandong,cn",40.1292,124.3947,87.15,65,100,3.0,CN,1626923776
"anadyr,ru",64.75,177.4833,59.5,58,20,8.95,RU,1626923701
"kamenka,ru",51.3223,42.7678,64.29,93,100,10.56,RU,1626923777
"mastic beach,us",40.7668,-72.8521,73.6,84,1,1.01,US,1626923777
"katherine,au",-14.4667,132.2667,88.12,11,98,5.75,AU,1626923777
"oktyabrskiy,ru",54.4815,53.471,72.27,54,11,4.21,RU,1626923778
"danielskuil,za",-28.1887,23.5395,28.04,78,2,8.48,ZA,1626923778
"coquimbo,cl",-29.9533,-71.3436,49.73,93,90,3.44,CL,1626923585
"santiago del estero,ar",-27.7951,-64.2615,54.81,31,4,8.75,AR,1626923779
"new norfolk,au",-42.7826,147.0587,56.91,69,99,7.0,AU,1626923640
"maniitsoq,gl",65.4167,-52.9,42.62,82,95,8.86,GL,1626923779
"carmen,cr",9.8728,-83.9211,66.96,84,100,3.83,CR,1626923779
"vilhena,br",-12.7406,-60.1458,67.14,47,0,2.66,BR,1626923779
"aklavik,ca",68.2191,-135.0107,85.03,30,64,11.79,CA,1626923780
"barrow,us",71.2906,-156.7887,37.42,87,90,19.57,US,1626923780
"pevek,ru",69.7008,170.3133,43.25,68,2,7.43,RU,1626923615
"madang,pg",-5.2246,145.7966,83.44,78,84,5.1,PG,1626923780
"yima,cn",34.7381,111.8839,73.53,95,100,7.07,CN,1626923781
"curuca,br",-0.7289,-47.8481,73.44,97,27,4.81,BR,1626923781
"hamilton,bm",32.2915,-64.778,81.0,88,20,8.01,BM,1626923781
"santa fe,cu",23.1292,-82.2613,79.0,85,26,8.14,CU,1626923782
"lorengau,pg",-2.0226,147.2712,84.22,71,100,5.55,PG,1626923591
"mugur-aksy,ru",50.35,90.5,67.33,44,100,3.58,RU,1626923782
"sandwick,gb",60.0,-1.25,51.62,100,90,10.36,GB,1626923782
"ha tinh,vn",18.3333,105.9,79.3,85,100,9.73,VN,1626923783
"zhuhai,cn",22.2769,113.5678,89.98,84,40,6.91,CN,1626923783
"potosi,bo",-19.5836,-65.7531,40.51,63,70,3.36,BO,1626923783
"itarema,br",-2.9248,-39.9167,77.86,84,3,14.99,BR,1626923784
"butaritari,ki",3.0707,172.7902,83.23,73,24,12.19,KI,1626923493
"tsaratanana,mg",-16.7833,47.65,65.35,75,15,12.03,MG,1626923784
